dtr;eTo
2022-01-22T00:00:00.000Z;8655,895
2022-01-22T00:00:00.000Z;4820,285
2022-01-23T00:00:00.000Z;2291,345
2022-01-24T00:00:00.000Z;7291,345
2022-01-24T00:00:00.000Z;12291,345
2022-01-24T00:00:00.000Z;7687,595
2022-01-25T00:00:00.000Z;3935,645
2022-01-26T00:00:00.000Z;8935,645
2022-01-26T00:00:00.000Z;4908,155
2022-01-27T00:00:00.000Z;9908,155
2022-01-27T00:00:00.000Z;5515,045
2022-01-28T00:00:00.000Z;10515,045
2022-01-28T00:00:00.000Z;5966,885
2022-01-29T00:00:00.000Z;10966,885
2022-01-29T00:00:00.000Z;7501,055
2022-01-30T00:00:00.000Z;4546,045
2022-01-31T00:00:00.000Z;9546,045
2022-01-31T00:00:00.000Z;4601,705
2022-02-01T00:00:00.000Z;9601,705
2022-02-01T00:00:00.000Z;5400,955
2022-02-02T00:00:00.000Z;10400,955
2022-02-02T00:00:00.000Z;6058,045
2022-02-03T00:00:00.000Z;11058,045
2022-02-03T00:00:00.000Z;6923,515
2022-02-04T00:00:00.000Z;11923,515
2022-02-04T00:00:00.000Z;6425,895
2022-02-05T00:00:00.000Z;11425,895
2022-02-05T00:00:00.000Z;7417,375
2022-02-06T00:00:00.000Z;4307,325
2022-02-07T00:00:00.000Z;9307,325
2022-02-07T00:00:00.000Z;4389,675
2022-02-08T00:00:00.000Z;9389,675
2022-02-08T00:00:00.000Z;4656,415
2022-02-09T00:00:00.000Z;9656,415
2022-02-09T00:00:00.000Z;5295,805
2022-02-10T00:00:00.000Z;10295,805
2022-02-10T00:00:00.000Z;5190,575
2022-02-11T00:00:00.000Z;10190,575
2022-02-11T00:00:00.000Z;4635,145
2022-02-12T00:00:00.000Z;9635,145
2022-02-12T00:00:00.000Z;14635,145
2022-02-12T00:00:00.000Z;10279,405
2022-02-13T00:00:00.000Z;6675,205
2022-02-14T00:00:00.000Z;11675,205
2022-02-14T00:00:00.000Z;6623,485
2022-02-15T00:00:00.000Z;11623,485
2022-02-15T00:00:00.000Z;6774,335
2022-02-16T00:00:00.000Z;11774,335
2022-02-16T00:00:00.000Z;6798,685
2022-02-17T00:00:00.000Z;11798,685
2022-02-17T00:00:00.000Z;6643,295
2022-02-18T00:00:00.000Z;11643,295
2022-02-18T00:00:00.000Z;5892,255
2022-02-19T00:00:00.000Z;15892,255
2022-02-19T00:00:00.000Z;11556,145
2022-02-20T00:00:00.000Z;7823,835
2022-02-21T00:00:00.000Z;12823,835
2022-02-21T00:00:00.000Z;7286,915
2022-02-22T00:00:00.000Z;12286,915
2022-02-22T00:00:00.000Z;17286,915
2022-02-22T00:00:00.000Z;11882,705
2022-02-23T00:00:00.000Z;7491,685
2022-02-24T00:00:00.000Z;12491,685
2022-02-24T00:00:00.000Z;7397,375
2022-02-25T00:00:00.000Z;12397,375
2022-02-25T00:00:00.000Z;4727,135
2022-02-26T00:00:00.000Z;14727,135
2022-02-26T00:00:00.000Z;8835,705
2022-02-27T00:00:00.000Z;5871,715
2022-02-28T00:00:00.000Z;15871,715
2022-02-28T00:00:00.000Z;12743,355
2022-03-01T00:00:00.000Z;9716,205
2022-03-02T00:00:00.000Z;14716,205
2022-03-02T00:00:00.000Z;10647,495
2022-03-03T00:00:00.000Z;5031,435
2022-03-04T00:00:00.000Z;15031,435
2022-03-04T00:00:00.000Z;20031,435
2022-03-04T00:00:00.000Z;13935,275
2022-03-05T00:00:00.000Z;18935,275
2022-03-05T00:00:00.000Z;23935,275
2022-03-05T00:00:00.000Z;19271,695
2022-03-06T00:00:00.000Z;15894,385
2022-03-07T00:00:00.000Z;25894,385
2022-03-07T00:00:00.000Z;20550,125
2022-03-08T00:00:00.000Z;15169,255
2022-03-09T00:00:00.000Z;30169,255
2022-03-09T00:00:00.000Z;24293,313
2022-03-10T00:00:00.000Z;11674,913
2022-03-11T00:00:00.000Z;6622,423
2022-03-12T00:00:00.000Z;11622,423
2022-03-12T00:00:00.000Z;8599,143
2022-03-13T00:00:00.000Z;6312,003
2022-03-14T00:00:00.000Z;2927,443
2022-03-15T00:00:00.000Z;7927,443
2022-03-15T00:00:00.000Z;4824,073
2022-03-16T00:00:00.000Z;9824,073
2022-03-16T00:00:00.000Z;6664,093
2022-03-17T00:00:00.000Z;3998,673
2022-03-18T00:00:00.000Z;8998,673
2022-03-18T00:00:00.000Z;3607,063
2022-03-19T00:00:00.000Z;13607,063
2022-03-19T00:00:00.000Z;9760,833
2022-03-20T00:00:00.000Z;6661,723
2022-03-21T00:00:00.000Z;11661,723
2022-03-21T00:00:00.000Z;7234,143
2022-03-22T00:00:00.000Z;2696,223
2022-03-23T00:00:00.000Z;7696,223
