dtr;eTo
"2022.122";6344.6
"2022.122";5757.85
"2022.123";5003.47
"2022.124";4365.13
"2022.125";3879.25
"2022.126";3382.53
"2022.127";2698.32
"2022.128";1588.71
"2022.129";880.9
"2022.130";7.96
"2022.131";5007.96
"2022.131";4519.23
"2022.201";3654.02
"2022.202";2860.9
"2022.203";2250.61
"2022.204";1194.96
"2022.205";6194.96
"2022.205";5046.13
"2022.206";4363.54
"2022.207";9363.54
"2022.207";8551.79
"2022.208";7753.99
"2022.209";6864.95
"2022.210";5835.92
"2022.211";4932.09
"2022.212";4185.69
"2022.213";3231.17
"2022.214";2492.06
"2022.215";1751.75
"2022.216";1033.45
"2022.217";6033.45
"2022.217";5254.06
"2022.218";4718.66
"2022.219";3799.81
"2022.220";3097.28
"2022.221";2680.77
"2022.222";2025.02
"2022.223";1489.77
"2022.224";6489.77
"2022.224";5530.1
"2022.225";4653.81
"2022.226";3473.65
"2022.227";2937.89
"2022.228";7937.89
"2022.228";7419.18
"2022.301";6682.3
"2022.302";5904.63
"2022.303";4974.75
"2022.304";4107.09
"2022.305";9107.09
"2022.305";14107.09
"2022.305";13060.43
"2022.306";11993.21
"2022.307";11412.89
"2022.308";10684.73
"2022.309";9862.86
"2022.310";7720.89
"2022.311";6925.14
"2022.312";6221.16
"2022.313";5677.56
"2022.314";5101.63
"2022.315";4460.49
"2022.316";3872.66
"2022.317";3335.1
"2022.318";2650.39
"2022.319";1784.88
"2022.320";1145.08
"2022.321";265.42
"2022.322";5265.42
"2022.322";4762.85
"2022.323";4057.27
"2022.324";3482.86
"2022.325";2281.05
"2022.326";1542.78
"2022.327";960.36
"2022.328";5960.36
"2022.328";5307.59
"2022.329";4651.85
"2022.330";4097.86
"2022.331";3258.27
"2022.401";2148.73
"2022.402";1381.76
"2022.403";941.07
"2022.404";5941.07
"2022.404";5237.86
"2022.405";4555.83
"2022.406";3453.18
"2022.407";2914.6
"2022.408";1937.65
"2022.409";1167.36
"2022.410";537.28
"2022.411";5537.28
"2022.411";4726.97
"2022.412";4037.95
"2022.413";3096.99
"2022.414";1907.95
"2022.415";1021.07
"2022.416";6021.07
"2022.416";5319.09
"2022.417";4652.56
"2022.418";3702.97
"2022.419";2735.03
"2022.420";7735.03
"2022.420";6693.97
"2022.421";5917
