dtr;eTo
"2022.122";6403.51
"2022.123";5783.21
"2022.124";4394.58
"2022.125";9394.58
"2022.125";8264.02
"2022.126";7529.31
"2022.127";6115.65
"2022.128";5066.42
"2022.129";10066.42
"2022.129";9323.85
"2022.130";9025.97
"2022.131";7754.53
"2022.201";6789.86
"2022.202";6032.35
"2022.203";16032.35
"2022.203";15105.45
"2022.204";14060.55
"2022.205";13129.1
"2022.206";12613.19
"2022.207";11696.42
"2022.208";11325.73
"2022.209";10316.88
"2022.210";9232.09
"2022.211";7771.52
"2022.212";7111.36
"2022.213";6776.54
"2022.214";11776.54
"2022.214";10588.03
"2022.215";15588.03
"2022.215";14803.38
"2022.216";13898.61
"2022.217";12640.57
"2022.218";10917.02
"2022.219";10201.31
"2022.220";9740.87
"2022.221";8832.49
"2022.222";7491.35
"2022.223";12491.35
"2022.223";11411.6
"2022.224";16411.6
"2022.224";15330.04
"2022.225";13181
"2022.226";12022.75
"2022.227";11391.66
"2022.228";10905.97
"2022.301";10537.03
"2022.302";9887.31
"2022.303";8432.95
"2022.304";13432.95
"2022.304";12239.86
"2022.305";11553.5
"2022.306";11270.82
"2022.307";9999.01
"2022.308";8953.12
"2022.309";13953.12
"2022.309";12742.3
"2022.310";10771.07
"2022.311";9362.23
"2022.312";8855.91
"2022.313";8326.6
"2022.314";7158.42
"2022.315";6069.18
"2022.316";4872.31
"2022.317";9872.31
"2022.317";8645.87
"2022.318";7004.94
"2022.319";12004.94
"2022.319";11104.17
"2022.320";10133.86
"2022.321";10132.29
"2022.322";15132.29
"2022.322";13433.77
"2022.323";11995.6
"2022.324";16995.6
"2022.324";15180
"2022.325";13723.83
"2022.326";18723.83
"2022.326";17764.94
"2022.327";17212.28
"2022.328";15778.13
"2022.329";14661.22
"2022.330";13383.66
"2022.331";18383.66
"2022.331";16563.83
"2022.401";14529.17
"2022.402";13938.3
"2022.403";13508.75
"2022.404";12194.33
"2022.405";11018.51
"2022.406";9845.64
"2022.407";8207.83
"2022.408";6731.41
"2022.409";11731.41
"2022.409";10470.92
"2022.410";9324.1
"2022.411";7467
"2022.412";6104.68
"2022.413";11104.68
"2022.413";9152.37
"2022.414";14152.37
"2022.414";12469.14
"2022.415";17469.14
"2022.415";16875.62
"2022.416";15839.82
"2022.417";15190.71
"2022.418";14122.85
"2022.419";12352.37
"2022.420";17352.37
"2022.420";15353.95
"2022.421";14333
